consecutivo;banco;minplazo;maxplazo;minmonto;maxmonto;tasa;fecha
820;19;360;539;1.000.000.001;5.000.000.000;4.5;10/11/2021
821;19;540;719;1.000.000;10.000.000;4.95;10/11/2021
822;19;540;719;10.000.001;50.000.000;5;10/11/2021
823;19;540;719;50.000.001;100.000.000;5.05;10/11/2021
824;19;540;719;100.000.001;500.000.000;5.08;10/11/2021
825;19;540;719;500.000.001;1.000.000.000;5.09;10/11/2021
826;19;540;719;1.000.000.001;5.000.000.000;5.1;10/11/2021
827;19;720;720;1.000.000;10.000.000;5.45;10/11/2021
828;19;720;720;10.000.001;50.000.000;5.5;10/11/2021
829;19;720;720;50.000.001;100.000.000;5.55;10/11/2021
830;19;720;720;100.000.001;500.000.000;5.58;10/11/2021
831;19;720;720;500.000.001;1.000.000.000;5.59;10/11/2021
832;19;720;720;1.000.000.001;5.000.000.000;5.6;10/11/2021
833;20;30;59;300.000;50.000.000.000;0.95;10/11/2021
834;20;60;89;300.000;50.000.000.000;1.95;10/11/2021
835;20;90;119;300.000;50.000.000.000;2.05;10/11/2021
836;20;120;179;300.000;50.000.000.000;2.25;10/11/2021
837;20;180;209;300.000;50.000.000.000;2.35;10/11/2021
838;20;210;239;300.000;50.000.000.000;2.65;10/11/2021
839;20;240;359;300.000;50.000.000.000;2.8;10/11/2021
840;20;360;539;300.000;50.000.000.000;2.8;10/11/2021
841;20;540;540;300.000;50.000.000.000;3;10/11/2021
842;20;720;720;300.000;50.000.000.000;3;10/11/2021
843;20;1080;1080;300.000;50.000.000.000;3;10/11/2021
844;20;1440;1440;300.000;50.000.000.000;3;10/11/2021
845;20;1800;1800;300.000;50.000.000.000;3.15;10/11/2021
846;23;90;119;0;499.999;2;10/11/2021
847;23;120;179;0;499.999;2.1;10/11/2021
848;23;180;359;0;499.999;2.2;10/11/2021
849;23;360;539;0;499.999;3.15;10/11/2021
850;23;540;5400;0;499.999;3.4;10/11/2021
851;23;90;119;500.000;9.999.999;2.05;10/11/2021
852;23;120;179;500.000;9.999.999;2.25;10/11/2021
853;23;180;359;500.000;9.999.999;2.3;10/11/2021
854;23;360;539;500.000;9.999.999;3.25;10/11/2021
855;23;540;5400;500.000;9.999.999;3.55;10/11/2021
856;23;90;119;10.000.000;19.999.999;2.25;10/11/2021
857;23;120;179;10.000.000;19.999.999;2.25;10/11/2021
858;23;180;359;10.000.000;19.999.999;2.4;10/11/2021
859;23;360;539;10.000.000;19.999.999;3.3;10/11/2021
860;23;540;5400;10.000.000;19.999.999;3.65;10/11/2021
861;23;90;119;20.000.000;49.999.999;2.25;10/11/2021
862;23;120;179;20.000.000;49.999.999;2.25;10/11/2021
863;23;180;359;20.000.000;49.999.999;2.45;10/11/2021
864;23;360;539;20.000.000;49.999.999;3.45;10/11/2021
865;23;540;5400;20.000.000;49.999.999;3.75;10/11/2021
866;23;90;119;50.000.000;99.999.999;2.3;10/11/2021
867;23;120;179;50.000.000;99.999.999;2.3;10/11/2021
868;23;180;359;50.000.000;99.999.999;2.45;10/11/2021
869;23;360;539;50.000.000;99.999.999;3.45;10/11/2021
870;23;540;5400;50.000.000;99.999.999;3.758;10/11/2021
871;23;90;119;100.000.000;249.999.999;2.3;10/11/2021
872;23;120;179;100.000.000;249.999.999;2.3;10/11/2021
873;23;180;359;100.000.000;249.999.999;2.5;10/11/2021
874;23;360;539;100.000.000;249.999.999;3.5;10/11/2021
875;23;540;5400;100.000.000;249.999.999;3.8;10/11/2021
876;23;90;119;250.000.000;499.999.999;2.35;10/11/2021
877;23;120;179;250.000.000;499.999.999;2.35;10/11/2021
878;23;180;359;250.000.000;499.999.999;2.55;10/11/2021
879;23;360;539;250.000.000;499.999.999;3.55;10/11/2021
880;23;540;5400;250.000.000;499.999.999;3.85;10/11/2021
881;23;90;119;500.000.000;10.000.000.000;2.4;10/11/2021
882;23;120;179;500.000.000;10.000.000.000;2.5;10/11/2021
883;23;180;359;500.000.000;10.000.000.000;2.6;10/11/2021
884;23;360;539;500.000.000;10.000.000.000;3.65;10/11/2021
885;23;540;5400;500.000.000;10.000.000.000;4;10/11/2021
886;18;60;89;1.000.000;9.999.999;0.15;10/11/2021
887;18;60;89;10.000.000;49.999.999;0.15;10/11/2021
888;18;60;89;50.000.000;199.999.999;0.15;10/11/2021
889;18;60;89;200.000.000;499.999.999;0.15;10/11/2021
890;18;60;89;500.000.000;5.000.000.000;0.15;10/11/2021
886;18;90;119;1.000.000;9.999.999;0.8;10/11/2021
887;18;90;119;10.000.000;49.999.999;1.3;10/11/2021
888;18;90;119;50.000.000;199.999.999;1.5;10/11/2021
889;18;90;119;200.000.000;499.999.999;1.65;10/11/2021
890;18;90;119;500.000.000;5.000.000.000;1.75;10/11/2021
891;18;120;179;1.000.000;9.999.999;1.2;10/11/2021
892;18;120;179;10.000.000;49.999.999;1.75;10/11/2021
893;18;120;179;50.000.000;199.999.999;1.8;10/11/2021
894;18;120;179;200.000.000;499.999.999;1.95;10/11/2021
895;18;120;179;500.000.000;5.000.000.000;2.05;10/11/2021
896;18;180;239;1.000.000;9.999.999;1.35;10/11/2021
897;18;180;239;10.000.000;49.999.999;1.85;10/11/2021
898;18;180;239;50.000.000;199.999.999;1.9;10/11/2021
899;18;180;239;200.000.000;499.999.999;2.2;10/11/2021
900;18;180;239;500.000.000;5.000.000.000;2.3;10/11/2021
901;18;240;239;1.000.000;9.999.999;1.45;10/11/2021
902;18;240;239;10.000.000;49.999.999;2.1;10/11/2021
903;18;240;239;50.000.000;199.999.999;2.15;10/11/2021
904;18;240;239;200.000.000;499.999.999;2.4;10/11/2021
905;18;240;239;500.000.000;5.000.000.000;2.45;10/11/2021
906;18;360;539;1.000.000;9.999.999;1.5;10/11/2021
907;18;360;539;10.000.000;49.999.999;2.4;10/11/2021
908;18;360;539;50.000.000;199.999.999;2.6;10/11/2021
909;18;360;539;200.000.000;499.999.999;2.75;10/11/2021
910;18;360;539;500.000.000;5.000.000.000;2.8;10/11/2021
911;18;540;1440;1.000.000;9.999.999;1.6;10/11/2021
912;18;540;1440;10.000.000;49.999.999;2.75;10/11/2021
913;18;540;1440;50.000.000;199.999.999;3.05;10/11/2021
914;18;540;1440;200.000.000;499.999.999;3.2;10/11/2021
915;18;540;1440;500.000.000;5.000.000.000;3.35;10/11/2021
